ZONE_ID;STADSDELEN;BC;GEBIED_ACTWAG;ZONE_VENOM;GEM2014;GEMEENTE;BUURT_ZONENAAM;PC4;LAND;PROV;COROP;HAVEN_IND;XCOORD;YCOORD;OPP;HUISH;INK_GEM;ACT_WAG;INWONERS;M_00_05;M_06_11;M_12_14;M_15_17;M_18_34;M_35_54;M_55_64;M_65_74;M_75_EO;V_00_05;V_06_11;V_12_14;V_15_17;V_18_34;V_35_54;V_55_64;V_65_74;V_75_EO;BBV_MAN;WERKZ_M;PT_MAN;BBV_VROUW;WERKZ_V;PT_VROUW;HOWEEK;MBOWEEK;HOWKND;MBOWKND;BANENTOT2;ZELFST;BANENTOT;LANDBOUW;INDUSTRIE;DETAIL;DIENSTEN;OVERHEID;OVERIG;BASIS_OW;SPEC_OW;VOORTG_OW;MBO;HBO_WO;hotelbedden;PT_KP;PZT_H;PZT_B;AVert;AAank;
4687;12;Z99z;0;3114;1690;De_Wolden;Ruinerwold-Buiten;0;1;3;9;0;214122;526866;3435;1638;46364;2500;4004;135;131;76;98;332;521;302;252;144;124;135;86;96;311;544;269;238;210;1095;1067;155;947;914;506;49;102;3;1;1106;265;1371;257;185;110;382;46;391;311;0;0;0;0;0;0;0.0;0.0;1;1;
4688;12;Z99z;0;3115;1690;De_Wolden;Verspreide_huizen_Ruinen;0;1;3;9;0;221109;530499;6480;1887;43105;2819;4324;104;114;74;78;352;498;361;324;260;96;111;53;84;299;519;344;338;315;1139;1107;164;955;926;519;68;89;4;0;1602;300;1902;263;216;94;252;41;1036;250;0;0;0;0;0;0;0.0;0.0;1;1;
4689;12;Z99z;0;3116;1690;De_Wolden;Verspreide_huizen_Koekange;0;1;3;9;0;217371;522774;3692;2357;45788;3443;5409;141;149;83;136;466;666;417;378;265;142;146;92;97;402;687;439;378;325;1475;1435;214;1256;1218;680;74;148;7;4;901;321;1222;160;169;229;177;39;448;383;0;0;0;0;0;0;0.0;0.0;1;1;
4690;12;Z99z;0;3117;1690;De_Wolden;Verspreide_huizen_Zuidwolde;0;1;3;9;0;225882;520425;8958;4277;46619;6740;10334;305;329;170;209;915;1261;830;640;460;277;347;178;202;884;1282;798;622;625;2785;2707;389;2411;2334;1290;190;258;8;3;3192;716;3908;583;756;465;551;306;1247;834;0;0;0;0;0;0;0.0;0.0;1;1;
4691;12;Z99z;0;3118;118;Hoogeveen;Verspreide_huizen_Pesse-Oost;0;1;3;9;0;227426;530987;3625;1202;44951;1835;2912;68;86;57;69;246;365;231;216;120;87;110;48;47;219;361;233;215;134;709;682;88;557;532;285;52;50;3;3;641;172;813;178;229;55;86;33;232;253;0;0;0;0;0;0;0.0;0.0;1;1;
4692;12;Z99z;0;3119;118;Hoogeveen;Verspreide_huizen_Nijstad;0;1;3;9;0;228903;527079;1285;7341;34585;7775;15975;475;550;252;277;1614;2014;981;943;804;446;511;246;243;1444;1854;988;1086;1247;3694;3550;420;2923;2788;1464;227;322;12;20;18240;758;18998;145;5803;1543;2970;1469;7068;1521;254;1950;2517;0;0;20;0.0;0.0;1;1;
4693;12;Z99z;0;3120;118;Hoogeveen;Verspreide_huizen_Alteveer;0;1;3;9;0;228207;525928;1275;10710;37526;12521;24213;773;947;455;469;2429;3240;1549;1297;936;735;856;421;440;2308;3079;1630;1406;1243;6060;5821;670;4914;4676;2458;381;561;9;39;5312;818;6130;33;1138;663;1108;515;2673;2038;149;1655;0;0;0;30;0.0;0.0;1;1;
4694;12;Z99z;0;3121;118;Hoogeveen;Verspreide_huizen_Hollandscheveld-West;0;1;3;9;0;234356;524665;6713;5045;40040;7566;12555;391;465;236;286;1235;1711;920;738;425;392;469;233;269;1116;1628;844;699;498;3256;3118;373;2535;2414;1283;165;295;4;4;2719;690;3409;349;972;361;395;162;1170;1218;0;0;45;0;0;0;0.0;0.0;1;1;
4695;12;Z99z;0;3122;109;Coevorden;Verspreide_huizen_Zweeloo;0;1;3;8;0;244676;534556;5739;1327;45134;2015;3367;80;97;57;66;324;415;286;245;155;71;74;58;86;246;379;274;241;213;701;659;86;594;554;298;62;70;3;0;752;216;968;129;124;71;143;42;459;223;0;0;0;0;0;0;0.0;0.0;1;1;
4696;12;Z99z;0;3123;109;Coevorden;Verspreide_huizen_Geesbrug;0;1;3;8;0;242597;528938;6302;1803;44152;2717;4192;97;137;69;85;340;497;353;315;220;97;121;75;72;302;507;325;313;267;1011;960;120;790;742;407;67;91;5;0;1024;287;1311;289;318;92;157;66;389;278;0;196;0;0;0;0;0.0;0.0;1;1;
4697;12;Z99z;0;3124;109;Coevorden;Verspreide_huizen_Dalen;0;1;3;8;0;247206;524328;6759;2358;47625;3671;5578;149;189;105;106;438;720;480;403;229;149;167;93;119;391;731;449;378;282;1398;1322;161;1115;1043;572;109;123;3;0;1521;354;1875;307;258;169;211;60;870;428;0;0;0;0;0;0;0.0;0.0;1;1;
4698;12;Z99z;0;3125;109;Coevorden;Verspreide_huizen_Steenwijksmoer;0;1;3;8;0;246087;520733;2162;4317;35007;5071;9265;273;285;168;152;875;1230;698;553;393;231;292;139;164;832;1159;689;575;557;2354;2232;260;1881;1762;940;106;227;4;0;6238;409;6647;177;1889;816;1565;378;1822;706;0;0;0;0;0;0;0.0;0.0;1;1;
4699;12;Z99z;0;3126;109;Coevorden;Verspreide_huizen_Vlieghuis_en_Padhuis;0;1;3;8;0;247719;519894;1772;2678;41528;3413;6446;200;256;123;146;565;870;406;378;256;216;218;110;129;510;855;419;378;411;1580;1497;181;1272;1191;643;101;198;3;0;1755;211;1966;40;707;23;150;376;670;602;0;1376;0;0;0;0;0.0;0.0;1;1;
4700;12;Z99z;0;3127;109;Coevorden;Verspreide_huizen_Noord-Sleen;0;1;3;8;0;250064;533370;7135;3000;41939;4250;6635;152;164;110;111;508;805;538;534;341;154;166;112;137;437;844;550;518;454;1595;1512;185;1292;1206;660;86;126;5;1;1499;368;1867;237;294;245;210;63;818;429;0;0;0;0;0;0;0.0;0.0;1;1;
4701;12;Z99z;0;3128;114;Emmen;Verspreide_huizen_Schoonebeek;0;1;3;8;0;258242;521008;6078;3269;41266;4847;7795;194;257;142;142;700;991;673;567;294;196;245;145;128;641;987;628;500;365;1901;1772;184;1445;1329;670;102;185;3;0;1785;350;2135;182;651;105;284;55;858;635;0;0;0;0;0;0;0.0;0.0;1;1;
4702;12;Z99z;0;3129;114;Emmen;Veenoord;0;1;3;8;0;253656;526120;481;1006;35535;1313;2167;50;78;40;40;213;290;145;158;87;54;62;44;29;182;287;144;151;113;530;496;53;404;372;186;18;56;0;1;704;68;772;55;382;12;141;0;182;0;0;0;0;0;0;0;0.0;0.0;1;1;
