[('Deletio;GEOMETRY
65;POLYGON ((630090.6956369125 5804183.839220011, 629902.7876141147 5804233.16178885, 630013.162162552 5804415.298389591, 630139.7019179371 5804463.176339952, 630244.9545362556 5804472.0523321135, 630313.770614563 5804214.101259109, 630261.1191783379 5804076.352574554, 630090.6956369125 5804183.839220011))
66;POLYGON ((629974.1025466411 5803947.939537955, 629894.7107972613 5804021.7874446735, 629778.1938052217 5804133.759616778, 629902.7876141147 5804233.16178885, 630090.6956369125 5804183.839220011, 630261.1191783379 5804076.352574554, 630108.6079518173 5803904.05296725, 630085.549677908 5803927.733016605, 630066.1987848729 5803933.479169074, 630006.2016692398 5803987.235219787, 629974.1025466411 5803947.939537955))
67;POLYGON ((629894.7107972613 5804021.7874446735, 629614.577292133 5803809.18087847, 629470.3467675659 5803897.291722644, 629675.0441149116 5804056.687160325, 629778.1938052217 5804133.759616778, 629894.7107972613 5804021.7874446735))
68;POLYGON ((629429.7308898291 5803851.516577709, 629470.3467675659 5803897.291722644, 629614.577292133 5803809.18087847, 629894.7107972613 5804021.7874446735, 629974.1025466411 5803947.939537955, 629943.8364756404 5803924.401908308, 629910.8253478564 5803913.2431701915, 629626.3179520526 5803723.77179163, 629429.7308898291 5803851.516577709))
69;POLYGON ((630108.6079518173 5803904.05296725, 630080.1778201123 5803875.708501306, 629843.323798003 5803607.156195051, 629626.3179520526 5803723.77179163, 629910.8253478564 5803913.2431701915, 629943.8364756404 5803924.401908308, 629974.1025466411 5803947.939537955, 630006.2016692398 5803987.235219787, 630066.1987848729 5803933.479169074, 630085.549677908 5803927.733016605, 630108.6079518173 5803904.05296725))
70;POLYGON ((629059.7917969623 5805018.920768986, 629027.9347654323 5804972.118058841, 628923.519155813 5804853.022495184, 628781.7719190017 5804902.425273684, 628638.5588151014 5804954.250569428, 628534.0524417262 5805039.521457127, 628588.7150942757 5805154.416657794, 628646.1457068479 5805247.303878033, 628777.4461076685 5805152.221122047, 629059.7917969623 5805018.920768986))
71;POLYGON ((629059.7917969623 5805018.920768986, 628777.4461076685 5805152.221122047, 628646.1457068479 5805247.303878033, 628683.1831903863 5805320.99555449, 628737.849740741 5805303.307399196, 628916.1780668402 5805355.080365061, 629145.9379607588 5805152.38814234, 629059.7917969623 5805018.920768986))
72;POLYGON ((628689.9357554116 5805926.682587616, 628808.2430041026 5805941.98390492, 629061.9167225531 5805423.822786071, 628916.1780668402 5805355.080365061, 628737.849740741 5805303.307399196, 628683.1831903863 5805320.99555449, 628698.8483109311 5805781.860698319, 628701.2770667194 5805853.316288576, 628689.9357554116 5805926.682587616))
73;POLYGON ((628698.8483109311 5805781.860698319, 628518.2818386627 5805759.222735223, 628339.8745462557 5805736.028964071, 628344.3461714899 5805881.985677362, 628689.9357554116 5805926.682587616, 628701.2770667194 5805853.316288576, 628698.8483109311 5805781.860698319))
74;POLYGON ((628328.8590657988 5805885.790317504, 628222.17611765 5805603.048190628, 628151.0311098583 5805640.962572096, 628163.5887907185 5805668.598356025, 628242.0666854742 5805907.113771681, 628328.8590657988 5805885.790317504))
75;POLYGON ((628518.2818386627 5805759.222735223, 628698.8483109311 5805781.860698319, 628683.1831903863 5805320.99555449, 628646.1457068479 5805247.303878033, 628527.5606564613 5805333.348000945, 628494.9098695891 5805362.1835483555, 628518.2818386627 5805759.222735223))
