[('Deletio;GEOMETRY
3865;POLYGON ((600016.0458145317 5786029.543076775, 600114.2531851444 5785902.734635403, 600176.2932096389 5785871.766992848, 600181.6933281507 5785798.920748526, 600197.3282316133 5785749.419164208, 600193.3850877696 5785717.278738798, 600177.3971477288 5785716.752195881, 600137.340551239 5785748.443868434, 600119.7819391014 5785734.86130777, 600120.7362981394 5785705.88317306, 600089.1882414628 5785691.839891803, 599995.8844035921 5785669.760795532, 599984.9136256103 5785638.389277074, 599916.5460506408 5785588.121894211, 599924.5609297114 5785557.375645671, 599903.7831389864 5785489.6693144385, 599921.4284734057 5785470.243844673, 599851.6338359099 5785432.933788799, 599834.996645971 5785391.372394355, 599806.4792464165 5785376.42863665, 599781.9468138659 5785331.60625517, 599728.4482941406 5785315.839816379, 599699.9726705477 5785238.877082195, 599652.6550419832 5785187.302394578, 599618.7465411085 5785184.185063066, 599553.2001320326 5785109.002546768, 599471.9740172387 5785054.310587841, 599597.3040966364 5784954.403782689, 599809.9513217122 5784815.358523706, 599826.7081484225 5784822.912641626, 599854.5104198176 5784798.8199707335, 599831.4498970672 5784770.051362202, 599949.8511248557 5784667.915496895, 599895.0329779411 5784601.088928316, 599831.1679000466 5784565.974991666, 599805.1096214951 5784537.107687197, 600016.4908977351 5784314.993019741, 600001.0502194902 5784267.469090115, 600024.2181797056 5784232.220129295, 599980.2357497659 5784109.731990131, 599938.9133627414 5784058.35484659, 599914.0274017924 5783963.504460017, 599943.6099334446 5783976.482505603, 600006.3320980738 5783985.550133791, 600116.5123972303 5783981.17552941, 600147.2916138886 5783988.191010496, 600221.6428413591 5784008.645200779, 600229.5467140339 5783950.886316258, 600222.638545647 5783917.647951823, 600218.9047839643 5783909.522366408, 600207.7034978928 5783885.145611319, 600105.6744671608 5783702.72700686, 600071.0713210459 5783629.56389358, 600050.227293352 5783563.856146437, 600082.305653659 5783546.6063522855, 600078.1939976489 5783534.767113032, 600074.6654380554 5783523.447238282, 599296.2941462336 5783770.007110339, 598845.5516889873 5783827.588911162, 598770.1487524189 5783833.008644745, 598156.0913499632 5783877.310088313, 597730.1427318262 5783938.408764072, 597718.8276490518 5783978.249126195, 597907.6594948585 5783924.447635122, 598003.9398050468 5783977.634087011, 598096.2889827545 5784028.690479692, 598173.0573174908 5784097.2396726115, 598197.2486360568 5784122.044019939, 598217.5088009792 5784144.718276526, 598240.7008789049 5784169.489727427, 598264.8592931071 5784195.293326033, 598318.5013618413 5784237.072650326, 598444.3104267966 5784335.245893207, 598562.1047795521 5784464.165361195, 598571.4061935605 5784485.478473476, 598598.475711654 5784544.3887064345, 598614.3111406689 5784579.921537338, 598599.4333250835 5784606.440382163, 598563.4431585585 5784727.294842844, 598557.2086131272 5784795.111618645, 598518.3073138606 5784882.85946304, 598445.5963383107 5784964.492268769, 598427.9182141715 5784984.91691738, 598399.2725367695 5785064.999842104, 598395.5044788094 5785079.180390699, 598380.9634837795 5785098.507951451, 598384.4698151413 5785104.425301176, 598384.8826740312 5785104.038767633, 598408.5912401497 5785079.7113911845, 598411.6374397946 5785084.413199171, 598418.829003683 5785093.853012739, 598421.185606739 5785098.232014158, 598447.9093966521 5785134.223459946, 598479.8118995136 5785176.987598623, 598486.5092198205 5785183.210101485, 598493.5042248929 5785192.543414106, 598494.3870882045 5785193.072650819, 598496.0166930637 5785195.226998521, 598654.6996748263 5785300.585286439, 598678.9818720177 5785319.590873798, 598703.0591560055 5785350.893716326, 598848.9839867858 5785527.755410307, 598849.563787107 5785528.374700347, 598875.1037267775 5785560.826104662, 598901.9636240628 5785595.721767037, 598923.3994984964 5785643.443041527, 598960.9758020448 5785656.684471975, 599098.835302674 5785571.195280362, 599120.4895613629 5785581.91169098, 599152.9589585426 5785567.97611359, 599200.123892966 5785654.557189926, 599285.2031856364 5785683.36765491, 599301.971943084 5785720.932016592, 599475.1193551978 5785839.671443748, 599805.7316104495 5786006.611171661, 599875.7116767071 5786007.915613483, 599917.2970076973 5786051.29903948, 600025.4907472817 5786076.869632149, 600016.0458145317 5786029.543076775))
3866;POLYGON ((599774.3606621122 5782554.444210474, 599746.8712961999 5782447.50435324, 599723.7899601801 5782449.74542774, 599692.6488681075 5782453.721805558, 599633.4302246846 5782459.7747640535, 599471.5196893004 5782455.444480603, 599370.2095437944 5782403.0929970145, 599329.1295426596 5782374.731689555, 599267.2422191281 5782370.693524801, 599240.2955366565 5782368.806035038, 599218.3450745102 5782367.083035555, 599101.7625738971 5782353.241540203, 599037.0091579251 5782345.107717135, 599001.0584966402 5782446.557566622, 598984.3030965219 5782572.647190876, 598953.7835266343 5782727.893277589, 598854.9411092855 5782910.499473671, 598843.0652095025 5782955.223145264, 598840.4478236127 5782964.840125961, 598977.0320712614 5783176.3045812175, 598942.5567805716 5783327.118965483, 598859.8070613934 5783531.361721213, 598747.8311423397 5783599.398053413, 598770.1487524189 5783833.008644745, 598845.5516889873 5783827.588911162, 599296.2941462336 5783770.007110339, 600074.6654380554 5783523.447238282, 600071.8573107461 5783514.551876097, 600061.7539499353 5783487.210309888, 599994.8835304169 5783269.937703758, 599920.808611565 5783028.4200896835, 599774.3606621122 5782554.444210474))
3867;POLYGON ((599037.0091579251 5782345.107717135, 598993.437242283 5782331.669295474, 598435.8315244018 5782162.262439434, 598369.8281458952 5782192.099827851, 598312.9495345022 5782218.236317603, 598290.8346499437 5782221.5095373085, 598284.7076164817 5782225.309115279, 598271.4214117553 5782233.874613882, 598257.6623259899 5782226.41936601, 598241.9705544576 5782216.899843067, 598235.0745632774 5782213.671840005, 598166.279144295 5782176.395616089, 598119.7754171827 5782160.860084393, 598107.9161249397 5782156.46835788, 598117.3040515973 5782144.773551581, 598124.4961151567 5782139.008390986, 598107.7722104656 5782130.455219488, 598056.5066472201 5782198.790053956, 598049.1829948003 5782208.552171331, 597959.321264071 5782294.622424783, 597828.7824969837 5782522.399500225, 597671.7041306805 5782766.308065452, 597662.0859004059 5782784.997506068, 597669.8166157482 5782793.254607728, 597664.9436423511 5782850.11250754, 597666.9666299135 5782910.198417856, 597695.1916961668 5783025.164407187, 597702.5934063693 5783043.4139020275, 597737.4840941693 5783168.6026059715, 597739.5981011405 5783174.2740137875, 597949.4435465825 5783095.955782902, 598085.8292098554 5783058.232676224, 598194.7516514583 5783082.925783688, 598486.9392017068 5783058.835184189, 598569.4405756391 5782989.728241022, 598671.496117569 5782967.78018686, 598843.0652095025 5782955.223145264, 598854.9411092855 5782910.499473671, 598953.7835266343 5782727.893277589, 598984.3030965219 5782572.647190876, 599001.0584966402 5782446.557566622, 599037.0091579251 5782345.107717135))
3868;POLYGON ((598977.0320712614 5783176.3045812175, 598840.4478236127 5782964.840125961, 598843.0652095025 5782955.223145264, 598671.496117569 5782967.78018686, 598569.4405756391 5782989.728241022, 598486.9392017068 5783058.835184189, 598194.7516514583 5783082.925783688, 598085.8292098554 5783058.232676224, 597949.4435465825 5783095.955782902, 597739.5981011405 5783174.2740137875, 597844.9196008227 5783460.23280509, 597853.9493372497 5783550.559137086, 597849.9974718568 5783579.438364503, 597840.4900776427 5783625.140145261, 597813.6129671347 5783712.283525482, 597757.9796535267 5783852.497416237, 597750.3927357842 5783870.253394554, 597742.4767902506 5783898.0017585335, 597735.7904006377 5783918.788353495, 597730.1427318262 5783938.408764072, 598156.0913499632 5783877.310088313, 598770.1487524189 5783833.008644745, 598747.8311423397 5783599.398053413, 598859.8070613934 5783531.361721213, 598942.5567805716 5783327.118965483, 598977.0320712614 5783176.3045812175))
3869;POLYGON ((597272.8719417102 5782322.839006452, 597269.7068543972 5782336.939353169, 597278.9129972975 5782336.842316686, 597291.7229747255 5782336.663864293, 597304.7459592368 5782336.092296438, 597362.8333285849 5782334.0034105275, 597410.8954327924 5782332.584785089, 597477.8895773502 5782363.799728784, 597726.1117781478 5782481.0070026005, 597806.2605740263 5782507.653492434, 597828.7824969837 5782522.399500225, 597959.321264071 5782294.622424783, 598049.1829948003 5782208.552171331, 598056.5066472201 5782198.790053956, 598107.7722104656 5782130.455219488, 598151.0232807766 5782092.866530405, 598228.0182482534 5782063.391007548, 598240.8644522723 5782037.805517721, 598439.2939393059 5781996.322620636, 598472.5320724663 5781989.414282128, 598587.7285655275 5781954.194083188, 598805.6044171104 5781899.346727828, 598811.7314568956 5781895.5471371, 598912.7289354297 5781835.85159645, 599023.4391283368 5781663.438930757, 599058.3631266186 5781544.549518727, 599052.9226139311 5781436.335200301, 599030.8567707153 5781316.57000288, 598977.6498783636 5781200.78131717, 598907.4558247051 5781084.43347607, 598870.8537063538 5781011.205148633, 598833.7786256664 5780921.956064916, 598824.7480988554 5780831.62952173, 598826.395779785 5780821.080312142, 598266.84316088 5781364.142607152, 598095.1710821838 5781513.541285785, 597935.7485389111 5781652.439546071, 597520.305965031 5782005.180593295, 597272.8719417102 5782322.839006452))
3870;POLYGON ((598554.7008241796 5779341.259825176, 598544.0709346196 5779329.906396097, 598491.0908341601 5779359.172700951, 598414.6348632487 5779402.671183929, 598326.3524546814 5779440.778778271, 598240.6605421912 5779460.965794686, 598146.9418395122 5779481.888931471, 598116.9443194009 5779511.911612778, 598100.3973657441 5779528.372478583, 597904.991286131 5779629.975725933, 597626.9319095777 5779689.845827806, 597539.3074740852 5779707.96847388, 597401.7259285091 5779815.47597271, 597289.8160350312 5779902.821634453, 597128.6271615344 5780028.557992248, 597001.3904577648 5779943.344084485, 596781.8388100811 5780049.15352505, 596683.305965665 5780185.954837375, 596669.358315817 5780205.502103794, 598095.1710821838 5781513.541285785, 598266.84316088 5781364.142607152, 598826.395779785 5780821.080312142, 598827.2728715399 5780815.7074277075, 598821.7912463318 5780769.512022664, 598822.7326736382 5780710.523822707, 598826.9224846296 5780613.630191533, 598833.2876923531 5780541.816297616, 598842.3545846881 5780479.094259608, 598864.8063190382 5780404.80889773, 598956.2873338179 5780208.755338663, 599008.1979008622 5780090.424930127, 599025.5671960989 5780048.982965423, 599055.4536521053 5779991.947787538, 599022.5193308248 5779928.843547193, 598991.5177067195 5779867.803586353, 598952.1149008785 5779788.481256242, 598894.7131458119 5779678.55676298, 598867.3263541822 5779659.649493296, 598852.5679377153 5779652.161455886, 598808.8518063149 5779612.710224442, 598797.1568972236 5779603.322372793, 598764.3008783986 5779568.229903057, 598746.9394041835 5779548.652297368, 598554.7008241796 5779341.259825176))
3871;POLYGON ((596669.358315817 5780205.502103794, 596666.5288163483 5780209.410241234, 596583.1725507397 5780158.65122588, 596557.5338536348 5780177.813666164, 596522.6389144228 5780204.673968057, 596500.0683335871 5780312.96567067, 596492.9546232345 5780346.742316667, 596472.8100554983 5780442.109727061, 596418.132312303 5780553.345795236, 596444.9392529065 5780620.249163222, 596371.609398402 5780811.896918375, 596133.1576943186 5780640.995984391, 596078.4504978758 5780601.183144127, 596023.5300560616 5780689.403780875, 596155.9312605391 5780860.81498851, 596831.144312141 5781438.218696201, 596844.7717749625 5781449.670819502, 596951.2872002892 5781526.200610348, 597048.8876797991 5781630.445919197, 596907.9995511365 5781716.836859824, 596988.304510486 5781799.506119413, 596953.7178040039 5781847.383137888, 596847.4656228928 5781762.859348818, 596809.1780569863 5781801.611642765, 596952.9201004041 5781932.384022828, 596913.7442953767 5781998.1156876795, 597212.5818042534 5782249.03109833, 597293.1129418719 5782233.676615008, 597272.8719417102 5782322.839006452, 597520.305965031 5782005.180593295, 597935.7485389111 5781652.439546071, 598095.1710821838 5781513.541285785, 596669.358315817 5780205.502103794))
3872;POLYGON ((601357.7871395196 5778880.334246347, 601345.0068421541 5778903.9216228565, 601324.7384815569 5778942.267549092, 601267.5686184842 5779068.428603695, 601219.2856336776 5779258.903403607, 601179.2925387578 5779440.6480025565, 601097.110202442 5779810.0667805495, 601079.1816928106 5779868.496284481, 601071.5949212054 5779886.252550933, 601136.6902733038 5779914.403803795, 601210.8446699975 5779940.852581185, 601284.0656126848 5779965.269979746, 601286.9371269179 5779966.164762456, 601302.4854341923 5779831.131392227, 601356.5403025409 5779766.188357411, 601470.3334187773 5779384.605265404, 601431.1274992723 5779299.286856958, 601465.0682219145 5779243.685029814, 601519.996455768 5779228.187095104, 601570.4585996596 5779269.361132426, 601813.5762048936 5779189.233334744, 601813.0991049448 5779179.414351704, 601813.3622083184 5779171.420333186, 601812.942319516 5779123.390446317, 601796.7114476544 5779099.848552451, 601715.8125478269 5779035.165251889, 601632.7507161815 5778975.412469565, 601587.7388674158 5778944.92135963, 601560.6477752255 5778917.020728577, 601545.2390746877 5778868.497578313, 601539.876004558 5778788.294367143, 601539.1069594902 5778781.266720324, 601545.6159979241 5778735.465585548, 601549.5674586971 5778706.585951688, 601537.3462360905 5778713.186075376, 601499.6833189563 5778732.953556807, 601410.2161983339 5778807.034765828, 601380.8230396511 5778849.081728921, 601357.7871395196 5778880.334246347))
3873;POLYGON ((601286.9371269179 5779966.164762456, 601309.8158946874 5779973.119885595, 601348.4248761104 5779985.394372169, 601385.2655939779 5779990.608324736, 601414.1123083686 5779995.5591541035, 601573.0590335947 5779998.79025165, 601589.980528034 5780001.347894547, 601598.6287519231 5779996.9309822945, 601599.1382448769 5779996.6476521185, 601645.8603027927 5779975.177829671, 601706.4732214509 5779957.166222588, 601718.5958064863 5779953.563900312, 601783.3701987526 5779930.687585459, 601838.1520792716 5779907.4823578345, 601892.9339677684 5779884.277121894, 601969.1935240414 5779846.773779703, 601987.7424952723 5779830.278578606, 601988.7713491775 5779829.412141128, 601993.9524008667 5779793.570598941, 602000.2110376247 5779785.773915683, 602011.6632782408 5779772.1461641565, 602027.4617582205 5779717.647709712, 602061.3454531181 5779660.743502025, 602111.4474182923 5779597.370738535, 602175.1918480525 5779532.846440877, 602134.3412315396 5779473.1823177785, 602170.7834851657 5779417.56267834, 602195.0409300248 5779169.8776090685, 602195.3690436629 5779165.987097771, 602193.6703125865 5779165.931188305, 601951.9168192381 5779155.973811095, 601916.8443101472 5779157.82049372, 601913.8465521496 5779157.721830103, 601813.67081385 5779192.437519744, 601813.5762048936 5779189.233334744, 601570.4585996596 5779269.361132426, 601519.996455768 5779228.187095104, 601465.0682219145 5779243.685029814, 601431.1274992723 5779299.286856958, 601470.3334187773 5779384.605265404, 601356.5403025409 5779766.188357411, 601302.4854341923 5779831.131392227, 601286.9371269179 5779966.164762456))
3874;POLYGON ((602195.3690436629 5779165.987097771, 602195.0409300248 5779169.8776090685, 602170.7834851657 5779417.56267834, 602134.3412315396 5779473.1823177785, 602175.1918480525 5779532.846440877, 602218.3626922036 5779509.859151669, 602268.9831578571 5779491.518528766, 602324.6656784159 5779471.343836529, 602421.0545197327 5779460.511614826, 602479.2086073242 5779456.423644703, 602545.2909655554 5779454.597293403, 602613.273181156 5779455.8344837, 602657.3061784004 5779455.2830855455, 602774.3834872158 5779454.134811675, 602807.3918074727 5779454.220890335, 602859.51754502 5779450.934835659, 602872.5407585609 5779450.363135739, 602874.2103808483 5779460.421471062, 602890.2971403521 5779457.949926736, 602897.6537092607 5779447.1883351905, 602898.5745971675 5779419.209171952, 602897.5298595277 5779390.164975293, 602896.8923793257 5779379.140272455, 602881.3647272926 5779364.624472728, 602834.4528868647 5779331.069638689, 602821.8243371523 5779319.650276531, 602819.3856739611 5779302.564266199, 602819.565454576 5779175.527253467, 602817.0076212231 5779168.140601267, 602814.9967203375 5779162.372490898, 602800.3696540785 5779150.887360615, 602777.5183288971 5779146.133916586, 602661.8475483218 5779165.334675547, 602639.8639369445 5779164.611140487, 602620.0432767761 5779158.957106698, 602590.9536022652 5779130.990587785, 602571.4289349224 5779116.343263951, 602552.5088697394 5779113.719886482, 602530.1635003685 5779123.988156545, 602489.2066804508 5779152.65027981, 602476.0848201261 5779156.219754981, 602466.9928660687 5779158.921527099, 602409.1018884957 5779155.015519415, 602358.4232960276 5779114.334439049, 602343.5660357346 5779109.844106362, 602325.382136547 5779115.247650789, 602269.7780330662 5779163.434401947, 602256.6232940531 5779168.003127795, 602243.6001072992 5779168.5748383785, 602195.3690436629 5779165.987097771))
3875;POLYGON ((602933.3058067241 5780065.970736963, 602933.5820903723 5780057.576987499, 602936.041074434 5780043.653186727, 602973.1983583344 5780008.864040803, 602976.5250337282 5779998.970152688, 602980.8838555794 5779988.109898981, 602973.5476199413 5779967.8616530625, 602924.1972011935 5779917.220694848, 602918.3410256209 5779852.0059409505, 602946.1964172559 5779795.903497732, 602951.9162773377 5779774.08431653, 602945.3490548132 5779760.863759326, 602908.1337975264 5779736.631058004, 602901.4021252857 5779728.406782576, 602889.8386228704 5779715.0217796685, 602883.5345168823 5779693.80718035, 602883.6535091467 5779659.799594825, 602891.6678755397 5779629.052892528, 602901.7794188926 5779595.374199941, 602895.5739722989 5779571.161834886, 602862.2115920127 5779521.047180034, 602849.0442395731 5779495.605340577, 602850.8657205775 5779470.65683788, 602862.120645051 5779463.024570916, 602859.51754502 5779450.934835659, 602807.3918074727 5779454.220890335, 602774.3834872158 5779454.134811675, 602657.3061784004 5779455.2830855455, 602613.273181156 5779455.8344837, 602545.2909655554 5779454.597293403, 602479.2086073242 5779456.423644703, 602421.0545197327 5779460.511614826, 602324.6656784159 5779471.343836529, 602268.9831578571 5779491.518528766, 602218.3626922036 5779509.859151669, 602175.1918480525 5779532.846440877, 602111.4474182923 5779597.370738535, 602061.3454531181 5779660.743502025, 602027.4617582205 5779717.647709712, 602011.6632782408 5779772.1461641565, 602000.2110376247 5779785.773915683, 601993.9524008667 5779793.570598941, 601988.7713491775 5779829.412141128, 601987.7424952723 5779830.278578606, 602033.246413155 5779842.780015664, 602134.288607074 5779848.606629381, 602630.9915708851 5779993.398813918, 602836.8557000891 5780042.189075267, 602933.3058067241 5780065.970736963))
3876;POLYGON ((601052.9631618263 5779935.655907294, 601047.4735576595 5779950.480202083, 601033.6735853005 5780005.044251948, 601032.6007240315 5780068.029874008, 601047.2527178476 5780139.535748953, 601086.3596817738 5780227.851909095, 601143.6833667748 5780309.765389703, 601264.1492570774 5780448.775642666, 601293.0413331966 5780482.73766987, 601443.9043864326 5780670.764668044, 601466.4470854338 5780654.501040732, 601483.894851588 5780641.070701125, 601502.3747619427 5780626.67400144, 601512.6304147977 5780619.008917933, 601523.8853190608 5780611.376726488, 601603.7675838049 5780554.986508537, 601639.662374997 5780528.158696809, 601648.1826647548 5780512.433808783, 601655.9339475934 5780489.6812659, 601658.051531613 5780455.739600594, 601669.9426272091 5780456.131016269, 601598.6287519231 5779996.9309822945, 601589.980528034 5780001.347894547, 601573.0590335947 5779998.79025165, 601414.1123083686 5779995.5591541035, 601385.2655939779 5779990.608324736, 601348.4248761104 5779985.394372169, 601309.8158946874 5779973.119885595, 601286.9371269179 5779966.164762456, 601284.0656126848 5779965.269979746, 601210.8446699975 5779940.852581185, 601136.6902733038 5779914.403803795, 601071.5949212054 5779886.252550933, 601061.7465272077 5779911.937034541, 601052.9631618263 5779935.655907294))
3877;POLYGON ((601669.9426272091 5780456.131016269, 601680.0350700505 5780456.463226231, 601772.1386148398 5780393.472877686, 601880.3538863364 5780388.031930181, 601893.3770602203 5780387.460272085, 601958.4600460352 5780385.6012335485, 601999.5280849152 5780383.952042086, 602070.0270509089 5780430.287391225, 602123.0861434662 5780429.032909451, 602166.6789834101 5780411.461453281, 602221.9872389925 5780372.268225503, 602310.480725812 5780358.175394547, 602437.0445723179 5780342.334680475, 602469.3292364232 5780364.404450573, 602490.8523468412 5780379.1176332235, 602521.0931164088 5780372.110354343, 602560.0061521927 5780314.371330474, 602585.3822199994 5780303.202566295, 602641.0648520899 5780283.02800018, 602672.4693471659 5780271.05732484, 602714.9314347609 5780257.449943602, 602748.2028809581 5780249.542066782, 602963.3717575248 5780246.621185659, 602971.9907437897 5780227.89845387, 602972.5498980865 5780210.911101856, 602949.6406501163 5780147.135693466, 602936.1976934492 5780099.67729882, 602932.5624710039 5780088.553919979, 602932.897959013 5780078.361509961, 602933.3058067241 5780065.970736963, 602836.8557000891 5780042.189075267, 602630.9915708851 5779993.398813918, 602134.288607074 5779848.606629381, 602033.246413155 5779842.780015664, 601987.7424952723 5779830.278578606, 601969.1935240414 5779846.773779703, 601892.9339677684 5779884.277121894, 601838.1520792716 5779907.4823578345, 601783.3701987526 5779930.687585459, 601718.5958064863 5779953.563900312, 601706.4732214509 5779957.166222588, 601645.8603027927 5779975.177829671, 601599.1382448769 5779996.6476521185, 601598.6287519231 5779996.9309822945, 601669.9426272091 5780456.131016269))
3878;POLYGON ((602060.6544639954 5778453.815943034, 602058.0070773108 5778455.229320247, 602050.8807626864 5778458.996133655, 601732.5569776597 5778617.576554021, 601560.1405496272 5778701.432086601, 601549.5674586971 5778706.585951688, 601545.6159979241 5778735.465585548, 601539.1069594902 5778781.266720324, 601539.876004558 5778788.294367143, 601545.2390746877 5778868.497578313, 601560.6477752255 5778917.020728577, 601587.7388674158 5778944.92135963, 601632.7507161815 5778975.412469565, 601715.8125478269 5779035.165251889, 601796.7114476544 5779099.848552451, 601812.942319516 5779123.390446317, 601813.3622083184 5779171.420333186, 601813.0991049448 5779179.414351704, 601813.5762048936 5779189.233334744, 601813.67081385 5779192.437519744, 601913.8465521496 5779157.721830103, 601916.8443101472 5779157.82049372, 601951.9168192381 5779155.973811095, 602193.6703125865 5779165.931188305, 602195.3690436629 5779165.987097771, 602238.186063052 5778998.7396440925, 602240.7203925307 5778958.209407892, 602249.8627053294 5778814.16179533, 602060.6544639954 5778453.815943034))
3879;POLYGON ((602890.2971403521 5779457.949926736, 602920.3405942816 5779456.938083049, 603062.0047447032 5779468.603108095, 603079.0249926168 5779468.1629644325, 603141.0775648628 5779467.204311945, 603249.9965578483 5779470.789212586, 603327.070912158 5779469.324637816, 603544.061668446 5779441.454640507, 603569.1746741919 5779438.279831892, 603562.7588521952 5779341.435775138, 603562.503858839 5779337.0258844495, 603558.251401675 5779283.867879034, 603536.6448247985 5779150.111475469, 603520.9274447883 5779080.5706974, 603503.8161414124 5779022.988133243, 603471.5388868505 5778939.89793407, 603450.9693670354 5778896.206333588, 603398.9371404013 5778805.463622462, 603365.3772595366 5778761.34451449, 603330.9167783807 5778714.194757782, 603329.4672222061 5778712.646542024, 603251.9337443098 5778810.128777846, 603088.8147665517 5779009.629721504, 603109.9032725364 5779146.970087204, 602913.844646857 5779137.6163468165, 602817.0076212231 5779168.140601267, 602819.565454576 5779175.527253467, 602819.3856739611 5779302.564266199, 602821.8243371523 5779319.650276531, 602834.4528868647 5779331.069638689, 602881.3647272926 5779364.624472728, 602896.8923793257 5779379.140272455, 602897.5298595277 5779390.164975293, 602898.5745971675 5779419.209171952, 602897.6537092607 5779447.1883351905, 602890.2971403521 5779457.949926736))
3880;POLYGON ((602808.2371964387 5778322.166261715, 602596.5893952369 5778199.862119299, 602569.1035292423 5778183.9525220925, 602547.7245604867 5778195.252999814, 602541.6303773766 5778198.053455398, 602065.1333920528 5778451.462506662, 602060.6544639954 5778453.815943034, 602249.8627053294 5778814.16179533, 602240.7203925307 5778958.209407892, 602336.4056603005 5778953.55595958, 602540.6067133787 5778715.494103973, 602675.7140022628 5778588.996445534, 602808.2371964387 5778322.166261715))
3881;POLYGON ((603330.9167783807 5778714.194757782, 603235.1802966563 5778614.01106338, 603175.9685883567 5778559.044394694, 603106.8958589511 5778499.751862599, 603046.1916140871 5778459.74119934, 602808.2371964387 5778322.166261715, 602675.7140022628 5778588.996445534, 602540.6067133787 5778715.494103973, 602336.4056603005 5778953.55595958, 602240.7203925307 5778958.209407892, 602238.186063052 5778998.7396440925, 602195.3690436629 5779165.987097771, 602243.6001072992 5779168.5748383785, 602256.6232940531 5779168.003127795, 602269.7780330662 5779163.434401947, 602325.382136547 5779115.247650789, 602343.5660357346 5779109.844106362, 602358.4232960276 5779114.334439049, 602409.1018884957 5779155.015519415, 602466.9928660687 5779158.921527099, 602476.0848201261 5779156.219754981, 602489.2066804508 5779152.65027981, 602530.1635003685 5779123.988156545, 602552.5088697394 5779113.719886482, 602571.4289349224 5779116.343263951, 602590.9536022652 5779130.990587785, 602620.0432767761 5779158.957106698, 602639.8639369445 5779164.611140487, 602661.8475483218 5779165.334675547, 602777.5183288971 5779146.133916586, 602800.3696540785 5779150.887360615, 602814.9967203375 5779162.372490898, 602817.0076212231 5779168.140601267, 602913.844646857 5779137.6163468165, 603109.9032725364 5779146.970087204, 603088.8147665517 5779009.629721504, 603251.9337443098 5778810.128777846, 603330.9167783807 5778714.194757782))
3882;POLYGON ((604215.0222380818 5778446.589976191, 604212.0704973933 5778445.092354708, 604112.0862218435 5778382.781678697, 604080.7018450801 5778363.742666266, 604041.1589659355 5778349.436872982, 604013.2125816728 5778347.516822372, 603896.8582834449 5778326.681826985, 603812.0401021286 5778289.878887941, 603805.9660735583 5778261.669442695, 603687.8838731716 5778171.754116392, 603648.13101083 5778133.433280049, 603612.2765284843 5778098.24176663, 603530.5622537741 5777997.519297005, 603415.3939880334 5777788.6596110705, 603413.9216085277 5777772.605721768, 603521.6844087372 5777720.132922064, 603537.2322949937 5777703.638784699, 603543.6224421803 5777691.844987298, 603553.7794392519 5777687.1775288405, 603546.9819315462 5777680.951797995, 603363.8600791995 5777773.959321296, 603349.6074067713 5777781.493012283, 603310.9450722301 5777801.227843319, 603302.7865959799 5777805.961061324, 602681.1262033125 5778123.617511629, 602608.8308202247 5778162.252162837, 602593.5460333178 5778170.752187062, 602569.1035292423 5778183.9525220925, 602596.5893952369 5778199.862119299, 602808.2371964387 5778322.166261715, 603046.1916140871 5778459.74119934, 603106.8958589511 5778499.751862599, 603175.9685883567 5778559.044394694, 603235.1802966563 5778614.01106338, 603329.4672222061 5778712.646542024, 603330.9167783807 5778714.194757782, 603365.3772595366 5778761.34451449, 603398.9371404013 5778805.463622462, 603450.9693670354 5778896.206333588, 603471.5388868505 5778939.89793407, 603503.8161414124 5779022.988133243, 603520.9274447883 5779080.5706974, 603536.6448247985 5779150.111475469, 603558.251401675 5779283.867879034, 603562.503858839 5779337.0258844495, 603562.7588521952 5779341.435775138, 603776.6879622109 5779327.569702029, 603906.5125350921 5779270.421642367, 604002.0765157372 5779166.130199897, 604073.7432878976 5779009.834668842, 604112.6653745873 5778760.329875606, 604159.9315189036 5778567.31887105, 604215.0222380818 5778446.589976191))
3883;POLYGON ((604260.9407604127 5778540.732887817, 604264.2345158209 5778531.838202548, 604280.9663763033 5778479.370689875, 604224.8635662493 5778451.51543066, 604215.0222380818 5778446.589976191, 604159.9315189036 5778567.31887105, 604112.6653745873 5778760.329875606, 604073.7432878976 5779009.834668842, 604002.0765157372 5779166.130199897, 603906.5125350921 5779270.421642367, 603776.6879622109 5779327.569702029, 603562.7588521952 5779341.435775138, 603569.1746741919 5779438.279831892, 603593.8590851898 5779843.229887447, 603603.3379689602 5779889.55755292, 603619.2070814301 5779924.091466957, 603639.3692393267 5779949.763623287, 603680.3591785675 5779920.102239244, 603799.5622083078 5779823.991667044, 603981.7795580224 5779636.923294919, 604022.7240477223 5779578.250420511, 604050.6781562837 5779519.149970285, 604069.9678088792 5779449.760911238, 604074.5771455079 5779400.89585395, 604107.9830349367 5779236.938876094, 604114.1304231388 5779202.1292236885, 604140.6197939315 5779065.954155595, 604143.045854388 5779053.0295519205, 604188.4958126396 5778857.457936147, 604253.0504742961 5778628.503367675, 604249.4025092705 5778587.369262877, 604260.9407604127 5778540.732887817))
