ID;DEPARTURE;ORIGIN;DESTINATION;SERVICE
31784;08:00:35;632357.7464165204 5800288.209577048;632332.1000557275 5801696.052583064;PersonalVehicle
996;08:00:35;630180.8384901551 5803097.961726034;630467.6870562502 5803163.118489869;PersonalVehicle
1160;08:00:36;630184.0628581921 5803839.490545374;633043.1750259753 5803962.053344262;PersonalVehicle
175;08:00:36;628799.0913340785 5804748.699021315;627494.9178842204 5803609.7160254;PersonalVehicle
27526;08:00:37;630366.6383697747 5807691.527727189;629427.4209686655 5805980.858644696;PersonalVehicle
21648;08:00:37;632607.6211822162 5804740.438178046;632357.7464165204 5800288.209577048;PersonalVehicle
13611;08:00:37;628974.0626090872 5802563.396583645;629230.2702246804 5802496.898199618;PersonalVehicle
37351;08:00:38;631913.9173730104 5808124.069404383;628806.2135138725 5800808.219494563;PersonalVehicle
26471;08:00:38;633376.1320138624 5806280.1655931175;632830.3038002892 5804124.373187255;PersonalVehicle
44766;08:00:38;625506.3564786583 5800324.4571683705;626439.6123528448 5801460.199706171;PersonalVehicle
6095;08:00:38;626644.192916322 5803866.880708023;626816.4987259124 5801981.677008908;PersonalVehicle
21478;08:00:39;631999.343762089 5804745.854222609;628806.2135138725 5800808.219494563;PersonalVehicle
21405;08:00:39;631611.3349057075 5804163.7129371725;631396.0982909377 5803300.277517327;PersonalVehicle
28958;08:00:39;632357.7464165204 5800288.209577048;625965.6093359436 5801026.913977332;PersonalVehicle
27496;08:00:40;630378.1416871474 5808040.272156372;631866.3640289842 5804384.063591917;PersonalVehicle
43721;08:00:40;625506.3564786583 5800324.4571683705;625871.0507655835 5804220.696952324;PersonalVehicle
18118;08:00:40;629883.3428333397 5800738.46517245;625506.3564786583 5800324.4571683705;PersonalVehicle
2849;08:00:40;627475.4477380577 5805276.696553316;625495.2665135056 5806727.877555828;PersonalVehicle
17403;08:00:40;629272.6675964568 5800595.8792989;627803.336217577 5800562.745674642;PersonalVehicle
14252;08:00:40;629833.8835013288 5801964.232990953;627440.847370305 5801558.721167644;PersonalVehicle
14010;08:00:41;628709.7314052895 5801535.5030069295;627852.405848404 5802557.469768596;PersonalVehicle
2941;08:00:41;627471.9850963133 5805511.653233521;628308.7672744119 5802844.24148766;PersonalVehicle
5900;08:00:41;626161.6957135221 5802946.229391535;625495.2665135056 5806727.877555828;PersonalVehicle
15930;08:00:41;626506.4975896609 5801236.04886998;630377.2935286161 5799276.878224155;PersonalVehicle
2977;08:00:41;627282.8964417427 5805091.513684696;625940.435564189 5804571.841565591;PersonalVehicle
28263;08:00:42;631346.6510335166 5807868.935628969;629427.4209686655 5805980.858644696;PersonalVehicle
18953;08:00:43;630377.2935286161 5799276.878224155;630067.2670755022 5801808.315272171;PersonalVehicle
251;08:00:43;628718.9135352065 5803208.934178717;629905.1765808209 5802854.554199455;PersonalVehicle
38147;08:00:43;634266.520278123 5803737.794336154;628796.318909859 5807659.528016352;PersonalVehicle
23355;08:00:43;630788.0901478288 5801358.96491434;625789.3343575794 5800457.240423721;PersonalVehicle
610;08:00:43;628350.5696603812 5804927.67171952;625506.3564786583 5800324.4571683705;PersonalVehicle
40256;08:00:43;627498.1724596496 5810012.366902584;630484.9728036523 5806079.347001683;PersonalVehicle
24057;08:00:44;632228.2496074674 5802451.422123996;625506.3564786583 5800324.4571683705;PersonalVehicle
16147;08:00:44;627037.4048663697 5801077.904957866;629108.4260458086 5800886.099310421;PersonalVehicle
25037;08:00:44;630467.6442282088 5805220.303002014;633095.9508737557 5806587.432533813;PersonalVehicle
37116;08:00:44;631913.9173730104 5808124.069404383;631127.9426816598 5804270.651382882;PersonalVehicle
14877;08:00:44;626453.9999858929 5801600.521088474;632357.7464165204 5800288.209577048;PersonalVehicle
15055;08:00:45;626675.2376203667 5801847.356108511;630377.2935286161 5799276.878224155;PersonalVehicle
15098;08:00:45;627063.4340892053 5802016.03348139;629018.1929300064 5801894.481615393;PersonalVehicle
23815;08:00:45;632234.0886313448 5802196.184667296;630814.3386336981 5800572.499761111;PersonalVehicle
21239;08:00:45;632437.3432378921 5804087.263848243;633692.6399642813 5806310.046305737;PersonalVehicle
63;08:00:46;629158.5382283408 5804906.094596347;625506.3564786583 5800324.4571683705;PersonalVehicle
24118;08:00:47;632443.0632969311 5802319.600074641;625506.3564786583 5800324.4571683705;PersonalVehicle
43218;08:00:47;625506.3564786583 5800324.4571683705;630934.8564850392 5799856.190352573;PersonalVehicle
4846;08:00:47;625817.2505530145 5804335.2174612805;625506.3564786583 5800324.4571683705;PersonalVehicle
23456;08:00:47;631288.4708074619 5800699.642322977;625506.3564786583 5800324.4571683705;PersonalVehicle
13310;08:00:47;625506.3564786583 5800324.4571683705;631067.1622477788 5800156.840483306;PersonalVehicle
